model,variant,pattern,rate,mae_mean_mean,mae_mean_std,mae_mean_count,rmse_mean_mean,rmse_mean_std,rmse_mean_count,mae_T_mean,mae_T_std,mae_T_count,mae_RH_mean,mae_RH_std,mae_RH_count,mae_wspd_mean,mae_wspd_std,mae_wspd_count,mae_P_mean,mae_P_std,mae_P_count,mae_q_mean,mae_q_std,mae_q_count,rmse_T_mean,rmse_T_std,rmse_T_count,rmse_RH_mean,rmse_RH_std,rmse_RH_count,rmse_wspd_mean,rmse_wspd_std,rmse_wspd_count,rmse_P_mean,rmse_P_std,rmse_P_count,rmse_q_mean,rmse_q_std,rmse_q_count
itransformer,,short,0.2,0.36987727880477905,,1,0.5108436346054077,,1,0.28992724418640137,,1,0.5216613411903381,,1,0.5836690068244934,,1,0.10837483406066895,,1,0.34575411677360535,,1,0.38125938177108765,,1,0.6714271306991577,,1,0.8770314455032349,,1,0.14118023216724396,,1,0.48331987857818604,,1
linear_interp,,long,0.2,0.47381935516993207,0.0014887240408275695,3,0.7021679878234863,0.005300700560968997,3,0.3712569872538249,0.0008950895930963047,3,0.6811542510986328,0.004635187420236072,3,0.7660032908121744,0.004745659086618641,3,0.09999178349971771,0.0021105606913651405,3,0.4506903688112895,0.0013940295793917013,3,0.5151752829551697,0.0033826260455915506,3,0.92205278078715,0.006408470579580259,3,1.23612113793691,0.018049588408955704,3,0.17720359563827515,0.01067329095223242,3,0.6602870225906372,0.0011401841532327577,3
linear_interp,,long,0.4,0.484176645676295,0.002397746609166591,3,0.7184538046518961,0.0020765427499075226,3,0.3822396794954936,0.002314844656235242,3,0.6892167131106058,0.0027630160957218116,3,0.7803960641225179,0.007399776156366712,3,0.10593448330958684,0.0014301898705136402,3,0.46309639016787213,0.002211129076522686,3,0.5315869251887003,0.002874357775555516,3,0.9301337798436483,0.0022452248318700855,3,1.25493319829305,0.012807267620675624,3,0.19554141660531363,0.007155034234056061,3,0.680073877175649,0.0036713659329056774,3
linear_interp,,long,0.6,0.4919566015402476,0.0021290530490559473,3,0.7271029353141785,0.0028027700608563824,3,0.3929609755674998,0.0011759998356445868,3,0.6977308789889017,0.0024551641022642684,3,0.782572348912557,0.011798131541237326,3,0.11259931822617848,0.0014934272756960537,3,0.4739193816979726,0.0023684866670960116,3,0.5430163741111755,0.0024202459104511378,3,0.9380742907524109,0.001646821868153186,3,1.2520886262257893,0.02369513527871408,3,0.21032644311587015,0.007220059867558309,3,0.6920090715090433,0.004256141674865672,3
linear_interp,,medium,0.2,0.3812750577926636,0.0013052164754158348,3,0.5760554273923238,0.0012727984782029689,3,0.2718607286612193,0.0005741680149193754,3,0.5649130940437317,0.0035057965846089258,3,0.659527321656545,0.0028347422991496373,3,0.06490677098433177,0.0002695076336525503,3,0.3451673487822215,0.0014010513290152317,3,0.3877305289109548,0.0029987503102267368,3,0.787255585193634,0.006151222962869616,3,1.0782930850982666,0.011348394135045247,3,0.10586034009853999,0.0033102323427462803,3,0.5211374560991923,0.003374243463378704,3
linear_interp,,medium,0.4,0.3981468776861827,0.0013689543670538967,3,0.5984004735946655,0.004517616426870689,3,0.28702131907145184,0.00106661317283391,3,0.5841315388679504,0.0027729352963018466,3,0.6847968896230062,0.005731360937705195,3,0.07021450499693553,0.0006084426982004589,3,0.3645701011021932,0.0019647298211753835,3,0.4069076677163442,0.001205472197314146,3,0.8079061905543009,0.005781893751573312,3,1.1158535877863567,0.016515567386971745,3,0.11140169699986775,0.004626658596436633,3,0.5499331951141357,0.004550881026207689,3
linear_interp,,medium,0.6,0.42225371797879535,0.0009145007661770572,3,0.6319489479064941,0.002407877991618288,3,0.31329726179440814,0.0004233386529587203,3,0.6112328370412191,0.003404233995447464,3,0.7129843433698019,0.003205277257461019,3,0.07945468028386433,0.0007621390537535028,3,0.394299437602361,0.0033353796328481965,3,0.4421640833218892,0.0015744678830392914,3,0.840625007947286,0.0044034073048897565,3,1.1528266668319702,0.0015176255565007152,3,0.1322947492202123,0.0045478800925144005,3,0.5918343265851339,0.0052174141719294066,3
linear_interp,,short,0.2,0.28205331166585285,0.00010188491467490062,3,0.4419671992460887,0.0016556661151446172,3,0.1786913921435674,0.00023201051242045825,3,0.4322788914044698,0.0019803691047819336,3,0.5192528168360392,0.003544746757199595,3,0.03620127712686857,0.00013315902865134935,3,0.2438421199719111,0.0019502601012611285,3,0.26041002074877423,0.0013717639430705442,3,0.6299979090690613,0.004430349246277731,3,0.8765552838643392,0.014155542991540043,3,0.05541608855128288,0.0008209599939868324,3,0.38745663563410443,0.003393555148514759,3
linear_interp,,short,0.4,0.2993818422158559,0.00048497385823252913,3,0.46675076087315875,0.0017718874737562681,3,0.19551859299341837,0.000876998154588825,3,0.4550391137599945,0.00022075165206776335,3,0.542549729347229,0.0001555363418921404,3,0.04157949363191923,0.0002572205804094381,3,0.2622222701708476,0.0013902061955572685,3,0.2854239046573639,0.001720362595888254,3,0.6585124532381693,0.0009117063265879961,3,0.9103567600250244,0.004562960986019663,3,0.06567294398943584,0.0024184848867369905,3,0.4137876530488332,0.002850242210454767,3
linear_interp,,short,0.6,0.32628341515858966,0.00020841414234484614,3,0.5045412182807922,0.000593385757092511,3,0.21950529019037882,0.0006169112905440143,3,0.49044284224510193,0.001980818333108084,3,0.5814663569132487,0.0023682259087523345,3,0.04900997132062912,0.000603446776783654,3,0.2909926275412242,0.001715016686494524,3,0.3200220863024394,0.0007676615286735159,3,0.7022830843925476,0.0030609391742562045,3,0.9685759743054708,0.0050328378343266955,3,0.07812980810801189,0.0025235847752856978,3,0.4536952277024587,0.003795394706499154,3
locf,,long,0.2,0.4874411424001058,0.0013653606140999492,3,0.7198479175567627,0.005151811157522687,3,0.38552821675936383,0.001036457028129086,3,0.7003447612126669,0.0028398424929365375,3,0.7826981941858927,0.006751007737526378,3,0.10368227710326512,0.002296673429030823,3,0.4649521807829539,0.00039907494861269027,3,0.5315863887468973,0.004492929243351116,3,0.9454885323842367,0.003191754015866786,3,1.2638476689656575,0.018635183002270482,3,0.18013711273670197,0.010634369411630302,3,0.6781798005104065,0.0028035039385712673,3
locf,,long,0.4,0.4943316578865051,0.001966836842789818,3,0.7309716741243998,0.002160606207720614,3,0.39398135741551715,0.0009484534960794692,3,0.7020639181137085,0.0017441158812654403,3,0.7931748231252035,0.008639211964535482,3,0.10866447538137436,0.0015587362233091698,3,0.4737737476825714,0.0027317009163199935,3,0.5450636943181356,0.0011925114914962077,3,0.9455341696739197,0.0020446519108609893,3,1.273695985476176,0.015929781141950577,3,0.1974888195594152,0.007243228409855654,3,0.693075696627299,0.005322644611964482,3
locf,,long,0.6,0.4985384444395701,0.0021611030622986473,3,0.7353513439496359,0.003196413574598469,3,0.40030211210250854,0.0014226410693389078,3,0.7054696083068848,0.002539297041162652,3,0.7914622823397318,0.012735525251054763,3,0.11457765847444534,0.001518647303502897,3,0.48088045914967853,0.002987265006233554,3,0.5512942870457967,0.0027838282880205795,3,0.9471264481544495,0.001991443888809661,3,1.265636404355367,0.025610626606729307,3,0.21168328821659088,0.007227555038257117,3,0.7010161876678467,0.004458146849434357,3
locf,,medium,0.2,0.4463433623313904,0.0024824590254307224,3,0.668357789516449,0.003951368426962339,3,0.33622145652770996,0.0016330669313629315,3,0.6496484875679016,0.002092951833056851,3,0.7493911385536194,0.0059692764283221685,3,0.08176278819640477,0.0006421153636861349,3,0.4146928588549296,0.003854161970891273,3,0.4723856747150421,0.002931807532846908,3,0.8949407935142517,0.0025326426740136837,3,1.2319597005844116,0.012143561052454328,3,0.12389850119749705,0.003251382549352258,3,0.6186042229334513,0.0076959637240405915,3
locf,,medium,0.4,0.4561254680156708,0.0012728563947519947,3,0.6799489061037699,0.004152481898423938,3,0.345674604177475,0.0006563663435304897,3,0.6596386035283407,0.0028036138019441495,3,0.7634024024009705,0.003406807445746204,3,0.08537528415520985,0.0003649943739324568,3,0.4265364309151967,0.0010852120707559587,3,0.4838731586933136,0.0009796578993669523,3,0.9033539692560831,0.005530941809739722,3,1.2509164810180664,0.008741703757898369,3,0.1274635816613833,0.0038915304005350446,3,0.6341371933619181,0.0028096817680256757,3
locf,,medium,0.6,0.46926043430964154,0.0011457121286541571,3,0.6952319741249084,0.0016213896752465828,3,0.3614381750424703,0.0015494333732991635,3,0.6736322244008383,0.0028721232012080817,3,0.7735614577929179,0.007548576813549576,3,0.09173234552145004,0.0006720967051763318,3,0.44593799114227295,0.0027349010597357715,3,0.5030471384525299,0.002711238531388422,3,0.9176817735036215,0.003255598705009361,3,1.251080870628357,0.011918081688002069,3,0.1439320147037506,0.004127576591678482,3,0.6604180137316386,0.004165089730628171,3
locf,,short,0.2,0.3642302254835765,0.0008292337607020647,3,0.5638935764630636,0.0024750188516462278,3,0.25022998452186584,0.00021242889063528267,3,0.5460120240847269,0.0027680257406079195,3,0.6426983674367269,0.004185915910480776,3,0.057193723817666374,0.0005755191041226,3,0.3250170151392619,0.0018327664766297253,3,0.36297571659088135,0.0015433514943332186,3,0.7841704885164896,0.00309782121178148,3,1.0841310421625774,0.013424520792813973,3,0.0824453483025233,0.0013253844802912924,3,0.5057452917098999,0.0036809158163671994,3
locf,,short,0.4,0.37994544704755145,0.00017322325597492785,3,0.5832659602165222,0.0015958963365542847,3,0.26703975598017377,0.0007084016929649355,3,0.5673824151357015,0.0020297682849202167,3,0.6605045199394226,0.0013689927818905233,3,0.06196331853667895,8.314175900783531e-05,3,0.34283722440401715,0.0015508698381849248,3,0.3858664333820343,0.0016255557241594133,3,0.8086671034495035,0.0018597810777862401,3,1.1008477608362834,0.011067955069362357,3,0.09046331296364467,0.0015060695996347876,3,0.5304853717486063,0.0034843660527471045,3
locf,,short,0.6,0.402111957470576,0.0002451382185350447,3,0.6118203600247701,0.0009482712732056085,3,0.28874340653419495,0.00019915729446247734,3,0.5954196453094482,0.0017696563313721856,3,0.6893929839134216,0.0011605090753745346,3,0.06849576532840729,0.00023355520791533424,3,0.3685080011685689,0.0014403754024359303,3,0.41426579157511395,0.0009076897768769646,3,0.8386098345120748,0.00312913206578214,3,1.140649636586507,0.0032224056835599402,3,0.1006292353073756,0.001331380488663851,3,0.5649473071098328,0.003227401187437355,3
